date,min_flow_cfs_license,min_flow_cfs_actual,source
2025-01-01,3200,3200,license_base
2025-01-02,3200,3200,license_base
2025-01-03,3200,3200,license_base
2025-01-04,3200,3200,license_base
2025-01-05,3200,3200,license_base
2025-01-06,3200,3200,license_base
2025-01-07,3200,3200,license_base
2025-01-08,3200,3200,license_base
2025-01-09,3200,3200,license_base
2025-01-10,3200,3200,license_base
2025-01-11,3200,3200,license_base
2025-01-12,3200,3200,license_base
2025-01-13,3200,3200,license_base
2025-01-14,3200,3200,license_base
2025-01-15,3200,3200,license_base
2025-01-16,3200,3200,license_base
2025-01-17,3200,3200,license_base
2025-01-18,3200,3200,license_base
2025-01-19,3200,3200,license_base
2025-01-20,3200,3200,license_base
2025-01-21,3200,3200,license_base
2025-01-22,3200,3200,license_base
2025-01-23,3200,3200,license_base
2025-01-24,3200,3200,license_base
2025-01-25,3200,3200,license_base
2025-01-26,3200,3200,license_base
2025-01-27,3200,3200,license_base
2025-01-28,3200,3200,license_base
2025-01-29,3200,3200,license_base
2025-01-30,3200,3200,license_base
2025-01-31,3200,3200,license_base
2025-02-01,3200,3200,license_base
2025-02-02,3200,3200,license_base
2025-02-03,3200,3200,license_base
2025-02-04,3200,3200,license_base
2025-02-05,3200,3200,license_base
2025-02-06,3200,3200,license_base
2025-02-07,3200,3200,license_base
2025-02-08,3200,3200,license_base
2025-02-09,3200,3200,license_base
2025-02-10,3200,3200,license_base
2025-02-11,3200,3200,license_base
2025-02-12,3200,3200,license_base
2025-02-13,3200,3200,license_base
2025-02-14,3200,3200,license_base
2025-02-15,3200,3200,license_base
2025-02-16,3200,3200,license_base
2025-02-17,3200,3200,license_base
2025-02-18,3200,3200,license_base
2025-02-19,3200,3200,license_base
2025-02-20,3200,3200,license_base
2025-02-21,3200,3200,license_base
2025-02-22,3200,3200,license_base
2025-02-23,3200,3200,license_base
2025-02-24,3200,3200,license_base
2025-02-25,3200,3200,license_base
2025-02-26,3200,3200,license_base
2025-02-27,3200,3200,license_base
2025-02-28,3200,3200,license_base
2025-03-01,3200,3200,license_base
2025-03-02,3200,3200,license_base
2025-03-03,3200,3200,license_base
2025-03-04,3200,3200,license_base
2025-03-05,3200,3200,license_base
2025-03-06,3200,3200,license_base
2025-03-07,3200,3200,license_base
2025-03-08,3200,3200,license_base
2025-03-09,3200,3200,license_base
2025-03-10,3200,3200,license_base
2025-03-11,3200,3200,license_base
2025-03-12,3200,3200,license_base
2025-03-13,3200,3200,license_base
2025-03-14,3200,3200,license_base
2025-03-15,3200,3200,license_base
2025-03-16,3200,3200,license_base
2025-03-17,3200,3200,license_base
2025-03-18,3200,3200,license_base
2025-03-19,3200,3200,license_base
2025-03-20,3200,3200,license_base
2025-03-21,3200,3200,license_base
2025-03-22,3200,3200,license_base
2025-03-23,3200,3200,license_base
2025-03-24,3200,3200,license_base
2025-03-25,3200,3200,license_base
2025-03-26,3200,3200,license_base
2025-03-27,3200,3200,license_base
2025-03-28,3200,3200,license_base
2025-03-29,3200,3200,license_base
2025-03-30,3200,3200,license_base
2025-03-31,3200,3200,license_base
2025-04-01,3200,3200,license_base
2025-04-02,3200,3200,license_base
2025-04-03,3200,3200,license_base
2025-04-04,3200,3200,license_base
2025-04-05,3200,3200,license_base
2025-04-06,3200,3200,license_base
2025-04-07,3200,3200,license_base
2025-04-08,3200,3200,license_base
2025-04-09,3200,3200,license_base
2025-04-10,3200,3200,license_base
2025-04-11,3200,3200,license_base
2025-04-12,3200,3200,license_base
2025-04-13,3200,3200,license_base
2025-04-14,3200,3200,license_base
2025-04-15,3200,3200,license_base
2025-04-16,3320,3320,license_base
2025-04-17,3440,3440,license_base
2025-04-18,3560,3560,license_base
2025-04-19,3680,3680,license_base
2025-04-20,3800,3800,license_base
2025-04-21,3920,3920,license_base
2025-04-22,4040,4040,license_base
2025-04-23,4160,4160,license_base
2025-04-24,4280,4280,license_base
2025-04-25,4400,4400,license_base
2025-04-26,4520,4520,license_base
2025-04-27,4640,4640,license_base
2025-04-28,4760,4760,license_base
2025-04-29,4880,4880,license_base
2025-04-30,5000,5000,license_base
2025-05-01,5513,5513,license_base
2025-05-02,6027,6027,license_base
2025-05-03,6540,6540,license_base
2025-05-04,7053,7053,license_base
2025-05-05,7567,7567,license_base
2025-05-06,8080,8080,license_base
2025-05-07,8593,8593,license_base
2025-05-08,9107,9107,license_base
2025-05-09,9620,9620,license_base
2025-05-10,10133,10133,license_base
2025-05-11,10647,10647,license_base
2025-05-12,11160,11160,license_base
2025-05-13,11673,11673,license_base
2025-05-14,12187,12187,license_base
2025-05-15,12700,12700,license_base
2025-05-16,12700,12700,license_base
2025-05-17,12700,12700,license_base
2025-05-18,12700,12700,license_base
2025-05-19,12700,12700,license_base
2025-05-20,12700,12700,license_base
2025-05-21,12700,12700,license_base
2025-05-22,12700,12700,license_base
2025-05-23,12700,12700,license_base
2025-05-24,12700,12700,license_base
2025-05-25,12700,12700,license_base
2025-05-26,12700,12700,license_base
2025-05-27,12700,12700,license_base
2025-05-28,12700,12700,license_base
2025-05-29,12700,12700,license_base
2025-05-30,12700,12700,license_base
2025-05-31,12700,12700,license_base
2025-06-01,12700,12700,license_base
2025-06-02,12700,12700,license_base
2025-06-03,12700,12700,license_base
2025-06-04,12700,12700,license_base
2025-06-05,12700,12700,license_base
2025-06-06,12700,12700,license_base
2025-06-07,12700,12700,license_base
2025-06-08,12700,12700,license_base
2025-06-09,12700,12700,license_base
2025-06-10,12700,12700,license_base
2025-06-11,12700,12700,license_base
2025-06-12,12700,12700,license_base
2025-06-13,12700,7000,interior_deviation_confirmed
2025-06-14,12700,7000,interior_deviation_confirmed
2025-06-15,12700,7000,interior_deviation_confirmed
2025-06-16,12700,7000,interior_deviation_confirmed
2025-06-17,12700,7000,interior_deviation_confirmed
2025-06-18,12700,7000,interior_deviation_confirmed
2025-06-19,12700,7000,interior_deviation_confirmed
2025-06-20,12700,7000,interior_deviation_confirmed
2025-06-21,12700,7000,interior_deviation_confirmed
2025-06-22,12700,7000,interior_deviation_confirmed
2025-06-23,12700,7000,interior_deviation_confirmed
2025-06-24,12700,7000,interior_deviation_confirmed
2025-06-25,12700,7000,interior_deviation_confirmed
2025-06-26,12700,7000,interior_deviation_confirmed
2025-06-27,12700,7000,interior_deviation_confirmed
2025-06-28,12700,7000,interior_deviation_confirmed
2025-06-29,12700,7000,interior_deviation_confirmed
2025-06-30,12700,7000,interior_deviation_confirmed
2025-07-01,12280,7000,interior_deviation_confirmed
2025-07-02,11860,7000,interior_deviation_confirmed
2025-07-03,11440,7000,interior_deviation_confirmed
2025-07-04,11020,7000,interior_deviation_confirmed
2025-07-05,10600,7000,interior_deviation_confirmed
2025-07-06,10180,7000,interior_deviation_confirmed
2025-07-07,9760,7000,interior_deviation_confirmed
2025-07-08,9340,7000,interior_deviation_confirmed
2025-07-09,8920,7000,interior_deviation_confirmed
2025-07-10,8500,7000,interior_deviation_confirmed
2025-07-11,8080,7000,interior_deviation_confirmed
2025-07-12,7660,7000,interior_deviation_confirmed
2025-07-13,7240,7000,interior_deviation_confirmed
2025-07-14,6820,7000,interior_deviation_confirmed
2025-07-15,6400,7000,interior_deviation_confirmed
2025-07-16,6200,6200,license_base
2025-07-17,6000,6000,license_base
2025-07-18,5800,5800,license_base
2025-07-19,5600,5600,license_base
2025-07-20,5400,5400,license_base
2025-07-21,5200,5200,license_base
2025-07-22,5000,5000,license_base
2025-07-23,4800,4800,license_base
2025-07-24,4600,4600,license_base
2025-07-25,4400,4400,license_base
2025-07-26,4200,4200,license_base
2025-07-27,4000,4000,license_base
2025-07-28,3800,3800,license_base
2025-07-29,3600,3600,license_base
2025-07-30,3400,3400,license_base
2025-07-31,3200,3200,license_base
2025-08-01,3200,3200,license_base
2025-08-02,3200,3200,license_base
2025-08-03,3200,3200,license_base
2025-08-04,3200,3200,license_base
2025-08-05,3200,3200,license_base
2025-08-06,3200,3200,license_base
2025-08-07,3200,3200,license_base
2025-08-08,3200,3200,license_base
2025-08-09,3200,3200,license_base
2025-08-10,3200,3200,license_base
2025-08-11,3200,3200,license_base
2025-08-12,3200,3200,license_base
2025-08-13,3200,3200,license_base
2025-08-14,3200,3200,license_base
2025-08-15,3200,3200,license_base
2025-08-16,3200,3200,license_base
2025-08-17,3200,3200,license_base
2025-08-18,3200,3200,license_base
2025-08-19,3200,3200,license_base
2025-08-20,3200,3200,license_base
2025-08-21,3200,3200,license_base
2025-08-22,3200,3200,license_base
2025-08-23,3200,3200,license_base
2025-08-24,3200,3200,license_base
2025-08-25,3200,3200,license_base
2025-08-26,3200,3200,license_base
2025-08-27,3200,3200,license_base
2025-08-28,3200,3200,license_base
2025-08-29,3200,3200,license_base
2025-08-30,3200,3200,license_base
2025-08-31,3200,3200,license_base
2025-09-01,3200,3200,license_base
2025-09-02,3200,3200,license_base
2025-09-03,3200,3200,license_base
2025-09-04,3200,3200,license_base
2025-09-05,3200,3200,license_base
2025-09-06,3200,3200,license_base
2025-09-07,3200,3200,license_base
2025-09-08,3200,3200,license_base
2025-09-09,3200,3200,license_base
2025-09-10,3200,3200,license_base
2025-09-11,3200,3200,license_base
2025-09-12,3200,3200,license_base
2025-09-13,3200,3200,license_base
2025-09-14,3200,3200,license_base
2025-09-15,3200,3200,license_base
2025-09-16,3200,3200,license_base
2025-09-17,3200,3200,license_base
2025-09-18,3200,3200,license_base
2025-09-19,3200,3200,license_base
2025-09-20,3200,3200,license_base
2025-09-21,3200,3200,license_base
2025-09-22,3200,3200,license_base
2025-09-23,3200,3200,license_base
2025-09-24,3200,3200,license_base
2025-09-25,3200,3200,license_base
2025-09-26,3200,3200,license_base
2025-09-27,3200,3200,license_base
2025-09-28,3200,3200,license_base
2025-09-29,3200,3200,license_base
2025-09-30,3200,3200,license_base
2025-10-01,3200,3200,license_base
2025-10-02,3200,3200,license_base
2025-10-03,3200,3200,license_base
2025-10-04,3200,3200,license_base
2025-10-05,3200,3200,license_base
2025-10-06,3200,3200,license_base
2025-10-07,3200,3200,license_base
2025-10-08,3200,3200,license_base
2025-10-09,3200,3200,license_base
2025-10-10,3200,3200,license_base
2025-10-11,3200,3200,license_base
2025-10-12,3200,3200,license_base
2025-10-13,3200,3200,license_base
2025-10-14,3200,3200,license_base
2025-10-15,3200,3200,license_base
2025-10-16,3200,3200,license_base
2025-10-17,3200,3200,license_base
2025-10-18,3200,3200,license_base
2025-10-19,3200,3200,license_base
2025-10-20,3200,3200,license_base
2025-10-21,3200,3200,license_base
2025-10-22,3200,3200,license_base
2025-10-23,3200,3200,license_base
2025-10-24,3200,3200,license_base
2025-10-25,3200,3200,license_base
2025-10-26,3200,3200,license_base
2025-10-27,3200,3200,license_base
2025-10-28,3200,3200,license_base
2025-10-29,3200,3200,license_base
2025-10-30,3200,3200,license_base
2025-10-31,3200,3200,license_base
2025-11-01,3200,3200,license_base
2025-11-02,3200,3200,license_base
2025-11-03,3200,3200,license_base
2025-11-04,3200,3200,license_base
2025-11-05,3200,3200,license_base
2025-11-06,3200,3200,license_base
2025-11-07,3200,3200,license_base
2025-11-08,3200,3200,license_base
2025-11-09,3200,3200,license_base
2025-11-10,3200,3200,license_base
2025-11-11,3200,3200,license_base
2025-11-12,3200,3200,license_base
2025-11-13,3200,3200,license_base
2025-11-14,3200,3200,license_base
2025-11-15,3200,3200,license_base
2025-11-16,3200,3200,license_base
2025-11-17,3200,3200,license_base
2025-11-18,3200,3200,license_base
2025-11-19,3200,3200,license_base
2025-11-20,3200,3200,license_base
2025-11-21,3200,3200,license_base
2025-11-22,3200,3200,license_base
2025-11-23,3200,3200,license_base
2025-11-24,3200,3200,license_base
2025-11-25,3200,3200,license_base
2025-11-26,3200,3200,license_base
2025-11-27,3200,3200,license_base
2025-11-28,3200,3200,license_base
2025-11-29,3200,3200,license_base
2025-11-30,3200,3200,license_base
2025-12-01,3200,3200,license_base
2025-12-02,3200,3200,license_base
2025-12-03,3200,3200,license_base
2025-12-04,3200,3200,license_base
2025-12-05,3200,3200,license_base
2025-12-06,3200,3200,license_base
2025-12-07,3200,3200,license_base
2025-12-08,3200,3200,license_base
2025-12-09,3200,3200,license_base
2025-12-10,3200,3200,license_base
2025-12-11,3200,3200,license_base
2025-12-12,3200,3200,license_base
2025-12-13,3200,3200,license_base
2025-12-14,3200,3200,license_base
2025-12-15,3200,3200,license_base
2025-12-16,3200,3200,license_base
2025-12-17,3200,3200,license_base
2025-12-18,3200,3200,license_base
2025-12-19,3200,3200,license_base
2025-12-20,3200,3200,license_base
2025-12-21,3200,3200,license_base
2025-12-22,3200,3200,license_base
2025-12-23,3200,3200,license_base
2025-12-24,3200,3200,license_base
2025-12-25,3200,3200,license_base
2025-12-26,3200,3200,license_base
2025-12-27,3200,3200,license_base
2025-12-28,3200,3200,license_base
2025-12-29,3200,3200,license_base
2025-12-30,3200,3200,license_base
2025-12-31,3200,3200,license_base
